Data Pertubations,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,German Credit,,,,,,,,,,,,,,,,,,,,,,,
,,,NICE,,,,DiCE,,,,cfxplorer,,,,OCEAN,,,,Feature Tweak,,,,CEML,,,
Pertbation,Bin,Data,Mean Validity,Std Validity,Mean Accuracy,Std Accuracy,Mean Validity,Std Validity,Mean Accuracy,Std Accuracy,Mean Validity,Std Validity,Mean Accuracy,Std Accuracy,Mean Validity,Std Validity,Mean Accuracy,Std Accuracy,Mean Validity,Std Validity,Mean Accuracy,Std Accuracy,Mean Validity,Std Validity,Mean Accuracy,Std Accuracy
Pertbation,Bin,Data,Mean Validity,Std Validity,Mean Accuracy,Std Accuracy,Mean Validity,Std Validity,Mean Accuracy,Std Accuracy,Mean Validity,Std Validity,Mean Accuracy,Std Accuracy,Mean Validity,Std Validity,Mean Accuracy,Std Accuracy,Mean Validity,Std Validity,Mean Accuracy,Std Accuracy,Mean Validity,Std Validity,Mean Accuracy,Std Accuracy
minor_deletion,0,Remove 0% ,1,0,0.7142,0.01,1,0,0.7142,0.01,1,0,0.7142,0.01,−,−,−,−,1,0,0.7142,0.01,,,,
minor_deletion,5,Remove 5% ,0.5912,0.0502,0.7162,0.0126,0.6124,0.0574,0.7162,0.0126,0.7194,0.0377,0.7162,0.0126,−,−,−,−,0.541,0.0613,0.7162,0.0126,,,,
minor_deletion,10,Remove 10%,0.6035,0.0357,0.7146,0.0154,0.568,0.0417,0.7146,0.0154,0.7226,0.0497,0.7146,0.0154,−,−,−,−,0.5763,0.0556,0.7146,0.0154,,,,
minor_deletion,15,Remove 15%,0.576,0.0456,0.7182,0.0122,0.558,0.0563,0.7182,0.0122,0.6943,0.0394,0.7182,0.0121,−,−,−,−,0.5331,0.0412,0.7182,0.0121,,,,
minor_deletion,20,Remove 20%,0.6023,0.0334,0.7106,0.0115,0.6051,0.0422,0.7106,0.0115,0.7166,0.0414,0.7106,0.0115,−,−,−,−,0.5406,0.0685,0.7106,0.0115,,,,
major_deletion,0,Remove 0% ,1,0,0.7142,0.01,1,0,0.7142,0.01,1,0,0.7142,0.01,−,−,−,−,1,0,0.7142,0.01,,,,
major_deletion,1,Remove 50%,0.5432,0.0423,0.7146,0.0111,0.5576,0.0312,0.7146,0.0111,0.6507,0.0436,0.7146,0.0111,−,−,−,−,0.3853,0.1299,0.7146,0.0111,,,,
minor_addition,0,Use 80%   ,0.4972,0.0162,0.7162,0.0105,0.5256,0.0545,0.7162,0.0105,0.6575,0.033,0.7162,0.0105,−,−,−,−,0.498,0.0708,0.7162,0.0105,,,,
minor_addition,5,Use 85%   ,0.4808,0.0372,0.715,0.0112,0.5069,0.064,0.715,0.0112,0.6343,0.0445,0.715,0.0111,−,−,−,−,0.538,0.0612,0.715,0.0111,,,,
minor_addition,10,Use 90%   ,0.5288,0.0452,0.7158,0.0073,0.5632,0.0431,0.7158,0.0073,0.6463,0.0602,0.7158,0.0073,−,−,−,−,0.5742,0.0784,0.7158,0.0073,,,,
minor_addition,15,Use 95%   ,0.5372,0.0081,0.711,0.0061,0.5444,0.0552,0.711,0.0061,0.6639,0.0334,0.711,0.0061,−,−,−,−,0.6052,0.0527,0.711,0.0061,,,,
minor_addition,20,Use 100%  ,1,0,0.7142,0.01,1,0,0.7142,0.01,1,0,0.7142,0.01,−,−,−,−,1,0,0.7142,0.01,,,,
major_addition,0,Use 50%   ,0.3725,0.0476,0.7086,0.0117,0.4821,0.063,0.7086,0.0117,0.5044,0.0437,0.7086,0.0117,−,−,−,−,0.3962,0.0731,0.7086,0.0117,,,,
major_addition,1,Use 100%  ,1,0,0.7142,0.01,1,0,0.7142,0.01,1,0,0.7142,0.01,−,−,−,−,1,0,0.7142,0.01,,,,
